Rank;Donor;Donor;Flexible;Multiyear
1;USA;4451066232 ;;3681015652 
2;Germany;996288254 ;399948414 ;923001295 
3;United Kingdom;610111395 ;160233005 ;150580586 
4;European Commission;591397709 ;4093567 ;451145798 
5;Private Donors;335733625 ;47133755 ;233310950 
6;Pakistan;228077489 ;;194748282 
7;Republic of Korea;203180680 ;35276877 ;200591607 
8;France;196568134 ;;140206125 
9;Sweden;183625723 ;119278243 ;144391293 
10;Canada;166813498 ;49380521 ;37645708 
11;Norway;158288675 ;45283598 ;71182382 
12;Japan;155478405 ;4793218 ;48803209 
13;UN CERF;135056520 ;;10977999 
14;UN Other Funds and Agencies (excl. CERF);120495156 ;28584398 ;92694073 
15;Switzerland;88868870 ;28036271 ;80197203 
16;Netherlands;87604937 ;69012808 ;76744071 
17;Denmark;82611965 ;59431283 ;82611965 
18;Chad;79852696 ;;27852696 
19;Australia;74885077 ;45787199 ;41813518 
20;Saudi Arabia;68541361 ;;1703122 
21;World Bank;60024499 ;;56000000 
22;United Arab Emirates;58980200 ;7700000 ;51366604 
23;Italy;56906954 ;4257425 ;29938307 
24;Somalia;51620295 ;;51620295 
25;Honduras;47728182 ;;46002258 
26;Austria;43207616 ;;25984496 
27;Ireland;37901378 ;27412281 ;29253533 
28;Finland;31824271 ;14571271 ;31824271 
29;Colombia;29911871 ;;12804519 
30;Haiti;23900000 ;;23900000 
31;Luxembourg;21617531 ;11441700 ;13282408 
32;Belgium;21556882 ;14122962 ;14122962 
33;Spain;20644189 ;15051526 ;5765771 
34;Russian Federation;20000000 ;16000000 ;20000000 
35;New Zealand;15528760 ;7213414 ;6601764 
36;Republic of Congo;13001083 ;;13001083 
37;UN COUNTRY BASED POOLED FUNDS;12566728 ;;2494997 
38;Burundi;12323441 ;;4203960 
39;China;11235913 ;;5035913 
40;The Central African Republic;11188492 ;;1188492 
41;Bangladesh;11000000 ;;11000000 
42;GAFSP;10558500 ;;10558500 
43;Guinea The Republic Of;8450000 ;;8450000 
44;Sierra Leone The Republic Of;7453429 ;;6753429 
45;Ukraine;7261483 ;;4672134 
46;Iceland;6771366 ;5453550 ;6021366 
47;Benin;6663542 ;;13542 
48;Laos;5774125 ;;5774125 
49;Qatar;5179371 ;;
50;Slovenia;5094135 ;739104 ;5094135 
51;El Salvador;4469320 ;;4469320 
52;UN Peacebuilding Fund;4430751 ;2091899 ;4430751 
53;Poland;4249280 ;;4249280 
54;Gambia;3692290 ;;3692290 
55;Brazil;3361739 ;;3361739 
56;Ecuador;2889329 ;2569329 ;2889329 
57;Lesotho;2381000 ;;2381000 
58;Portugal;2213568 ;;2213568 
59;Zimbabwe;2163316 ;;2163316 
60;African Dev Bank;2020800 ;;1020800 
61;Cote D'Ivoire The Republic Of;1821350 ;;1821350 
62;Ghana;1798000 ;;1798000 
63;Republic of Zambia;1650565 ;;1650565 
64;The Togolese Republic;1639409 ;;1639409 
65;Liberia;1575000 ;;1575000 
66;Malawi;1411643 ;;1411643 
67;ECOWAS;1406747 ;;
68;Monaco;1268520 ;973293 ;892295 
69;Czech Republic;1259179 ;;1259179 
70;India;1245005 ;285005 ;1245005 
71;Peru;1242297 ;;1242297 
72;Cameroon;1000000 ;;
73;Islamic Development Bank;1000000 ;;
74;Malaysia;1000000 ;;1000000 
75;Nigeria;1000000 ;;
76;Global Partnership For Education;1000000 ;;1000000 
77;Croatia;795515 ;;795515 
78;Assoc of SE Asian Nations;760000 ;;760000 
79;Liechtenstein;533650 ;;336772 
80;Iraq;490784 ;;490784 
81;The Intergovernmental Authority on Development in Eastern Africa;458982 ;;458982 
82;South Sudan;400000 ;;400000 
83;Egypt;383791 ;;383791 
84;The Kingdom Of Eswatini;283240 ;;
85;Angola;267970 ;;267970 
86;Slovakia;233818 ;;233818 
87;Bolivia;232920 ;;232920 
88;Eurasian Development Bank;200286 ;;200286 
89;Estonia;195404 ;99512 ;195404 
90;Intl Committee of The Red Cross;193670 ;;193670 
91;Philippines;188058 ;;188058 
92;Panama;179198 ;;179198 
93;Asian Development Bank;170800 ;;170800 
94;South Africa;161848 ;;161848 
95;Indonesia;150688 ;;150688 
96;Faroe Islands;143740 ;;
97;Thailand;132223 ;;132223 
98;Latvia;118998 ;118998 ;118998 
99;Greece;111857 ;;111857 
100;Lithuania;111857 ;111857 ;111857 
101;Malta;108184 ;;108184 
102;Cyprus;74763 ;;74763 
103;The Republic Of Fiji;65934 ;;65934 
104;Dominican Republic;56664 ;;56664 
105;Bulgaria;32538 ;;32538 
106;Andorra;31250 ;;31250 
107;Kazakhstan;30000 ;;30000 
108;Armenia;20000 ;;20000 
109;Chile;20000 ;;20000 
110;Hungary;20000 ;;20000 
111;Türkiye;19890 ;;19890 
112;Sri Lanka;2587 ;;2587 
113;Moldova;2000 ;;2000 
114;Mexico;949  ;;949  
